input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
364,0x016C,0x1314,0.007012,7.012
365,0x016D,0x131A,0.007954,7.954
366,0x016E,0x1321,0.007055,7.055
367,0x016F,0x1328,0.007915,7.915
368,0x0170,0x132E,0.007151,7.151
369,0x0171,0x1335,0.007961,7.961
370,0x0172,0x133C,0.007849,7.849
371,0x0173,0x1342,0.007048,7.048
372,0x0174,0x1349,0.007913,7.913
373,0x0175,0x1350,0.007150,7.150
374,0x0176,0x1356,0.007962,7.962
375,0x0177,0x135D,0.007982,7.982
376,0x0178,0x1364,0.007987,7.987
377,0x0179,0x136A,0.007857,7.857
378,0x017A,0x1371,0.007967,7.967
379,0x017B,0x1377,0.007016,7.016
380,0x017C,0x137E,0.008076,8.076
381,0x017D,0x1384,0.008009,8.009
382,0x017E,0x138B,0.007947,7.947
383,0x017F,0x1392,0.007967,7.967
384,0x0180,0x1398,0.008001,8.001
385,0x0181,0x139F,0.007985,7.985
386,0x0182,0x13A5,0.007988,7.988
387,0x0183,0x13AC,0.007877,7.877
388,0x0184,0x13B2,0.007016,7.016
389,0x0185,0x13B9,0.007173,7.173
390,0x0186,0x13BF,0.007863,7.863
391,0x0187,0x13C6,0.008041,8.041
392,0x0188,0x13CC,0.007991,7.991
393,0x0189,0x13D3,0.007981,7.981
394,0x018A,0x13D9,0.007845,7.845
395,0x018B,0x13DF,0.007131,7.131
396,0x018C,0x13E6,0.007810,7.810
397,0x018D,0x13EC,0.007178,7.178
398,0x018E,0x13F3,0.008070,8.070
399,0x018F,0x13F9,0.007952,7.952
400,0x0190,0x1400,0.007731,7.731
401,0x0191,0x1406,0.007258,7.258
402,0x0192,0x140C,0.007827,7.827
403,0x0193,0x1413,0.008116,8.116
404,0x0194,0x1419,0.007743,7.743
405,0x0195,0x141F,0.007023,7.023
406,0x0196,0x1426,0.007023,7.023
407,0x0197,0x142C,0.007948,7.948
408,0x0198,0x1432,0.007296,7.296
409,0x0199,0x1439,0.007669,7.669
410,0x019A,0x143F,0.007035,7.035
411,0x019B,0x1445,0.007942,7.942
412,0x019C,0x144C,0.007047,7.047
413,0x019D,0x1452,0.008136,8.136
414,0x019E,0x1458,0.007760,7.760
415,0x019F,0x145F,0.007037,7.037
416,0x01A0,0x1465,0.007924,7.924
417,0x01A1,0x146B,0.006976,6.976
418,0x01A2,0x1471,0.007055,7.055
419,0x01A3,0x1478,0.007046,7.046
420,0x01A4,0x147E,0.007882,7.882
421,0x01A5,0x1484,0.007000,7.000
422,0x01A6,0x148A,0.007016,7.016
423,0x01A7,0x1491,0.007032,7.032
424,0x01A8,0x1497,0.007906,7.906
425,0x01A9,0x149D,0.006998,6.998
426,0x01AA,0x14A3,0.006977,6.977
427,0x01AB,0x14A9,0.007029,7.029
428,0x01AC,0x14B0,0.007044,7.044
429,0x01AD,0x14B6,0.007885,7.885
430,0x01AE,0x14BC,0.007055,7.055
431,0x01AF,0x14C2,0.007047,7.047
432,0x01B0,0x14C8,0.007882,7.882
433,0x01B1,0x14CF,0.007062,7.062
434,0x01B2,0x14D5,0.007901,7.901
435,0x01B3,0x14DB,0.007019,7.019
436,0x01B4,0x14E1,0.007054,7.054
437,0x01B5,0x14E7,0.007909,7.909
438,0x01B6,0x14ED,0.006995,6.995
439,0x01B7,0x14F3,0.008092,8.092
440,0x01B8,0x14F9,0.007981,7.981
441,0x01B9,0x1500,0.007980,7.980
442,0x01BA,0x1506,0.008096,8.096
443,0x01BB,0x150C,0.007746,7.746
444,0x01BC,0x1512,0.007034,7.034
445,0x01BD,0x1518,0.007088,7.088
446,0x01BE,0x151E,0.007992,7.992
447,0x01BF,0x1524,0.007987,7.987
448,0x01C0,0x152A,0.007983,7.983
449,0x01C1,0x1530,0.007849,7.849
450,0x01C2,0x1536,0.007044,7.044
451,0x01C3,0x153C,0.007931,7.931
452,0x01C4,0x1542,0.007120,7.120
