Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10636,103.1310,103.1172,0.013797,3.53 LSB,FAIL
10637,103.1358,103.1211,0.014739,3.77 LSB,FAIL
10638,103.1407,103.1289,0.011774,3.01 LSB,FAIL
10639,103.1455,103.1328,0.012716,3.26 LSB,FAIL
10640,103.1504,103.1367,0.013657,3.50 LSB,FAIL
10641,103.1552,103.1406,0.014598,3.74 LSB,FAIL
10642,103.1601,103.1484,0.011632,2.98 LSB,FAIL
10643,103.1649,103.1523,0.012573,3.22 LSB,FAIL
10644,103.1698,103.1562,0.013513,3.46 LSB,FAIL
10645,103.1746,103.1602,0.014453,3.70 LSB,FAIL
10646,103.1795,103.1680,0.011487,2.94 LSB,FAIL
10647,103.1843,103.1719,0.012426,3.18 LSB,FAIL
10648,103.1891,103.1758,0.013365,3.42 LSB,FAIL
10649,103.1940,103.1797,0.014305,3.66 LSB,FAIL
10650,103.1988,103.1875,0.011337,2.90 LSB,FAIL
10651,103.2037,103.1914,0.012276,3.14 LSB,FAIL
10652,103.2085,103.1953,0.013214,3.38 LSB,FAIL
10653,103.2134,103.1992,0.014152,3.62 LSB,FAIL
10654,103.2182,103.2070,0.011184,2.86 LSB,FAIL
10655,103.2231,103.2109,0.012122,3.10 LSB,FAIL
10656,103.2279,103.2148,0.013059,3.34 LSB,FAIL
10657,103.2327,103.2188,0.013997,3.58 LSB,FAIL
10658,103.2376,103.2266,0.011028,2.82 LSB,FAIL
10659,103.2424,103.2305,0.011964,3.06 LSB,FAIL
10660,103.2473,103.2344,0.012901,3.30 LSB,FAIL
10661,103.2521,103.2383,0.013837,3.54 LSB,FAIL
10662,103.2570,103.2422,0.014774,3.78 LSB,FAIL
10663,103.2618,103.2500,0.011803,3.02 LSB,FAIL
10664,103.2666,103.2539,0.012739,3.26 LSB,FAIL
10665,103.2715,103.2578,0.013674,3.50 LSB,FAIL
10666,103.2763,103.2617,0.014610,3.74 LSB,FAIL
10667,103.2812,103.2695,0.011638,2.98 LSB,FAIL
10668,103.2860,103.2734,0.012573,3.22 LSB,FAIL
10669,103.2909,103.2773,0.013508,3.46 LSB,FAIL
10670,103.2957,103.2812,0.014442,3.70 LSB,FAIL
10671,103.3005,103.2891,0.011470,2.94 LSB,FAIL
10672,103.3054,103.2930,0.012404,3.18 LSB,FAIL
10673,103.3102,103.2969,0.013337,3.41 LSB,FAIL
10674,103.3151,103.3008,0.014271,3.65 LSB,FAIL
10675,103.3199,103.3086,0.011298,2.89 LSB,FAIL
10676,103.3247,103.3125,0.012231,3.13 LSB,FAIL
10677,103.3296,103.3164,0.013164,3.37 LSB,FAIL
10678,103.3344,103.3203,0.014096,3.61 LSB,FAIL
10679,103.3392,103.3281,0.011122,2.85 LSB,FAIL
10680,103.3441,103.3320,0.012054,3.09 LSB,FAIL
10681,103.3489,103.3359,0.012986,3.32 LSB,FAIL
10682,103.3538,103.3398,0.013918,3.56 LSB,FAIL
10683,103.3586,103.3438,0.014849,3.80 LSB,FAIL
10684,103.3634,103.3516,0.011874,3.04 LSB,FAIL
10685,103.3683,103.3555,0.012805,3.28 LSB,FAIL
10686,103.3731,103.3594,0.013736,3.52 LSB,FAIL
10687,103.3779,103.3633,0.014666,3.75 LSB,FAIL
10688,103.3828,103.3711,0.011690,2.99 LSB,FAIL
10689,103.3876,103.3750,0.012620,3.23 LSB,FAIL
10690,103.3925,103.3789,0.013550,3.47 LSB,FAIL
10691,103.3973,103.3828,0.014480,3.71 LSB,FAIL
10692,103.4021,103.3906,0.011503,2.94 LSB,FAIL
10693,103.4070,103.3945,0.012432,3.18 LSB,FAIL
10694,103.4118,103.3984,0.013361,3.42 LSB,FAIL
10695,103.4166,103.4023,0.014289,3.66 LSB,FAIL
10696,103.4215,103.4102,0.011312,2.90 LSB,FAIL
10697,103.4263,103.4141,0.012240,3.13 LSB,FAIL
10698,103.4311,103.4180,0.013168,3.37 LSB,FAIL
10699,103.4360,103.4219,0.014096,3.61 LSB,FAIL
10700,103.4408,103.4297,0.011117,2.85 LSB,FAIL
10701,103.4456,103.4336,0.012044,3.08 LSB,FAIL
10702,103.4505,103.4375,0.012971,3.32 LSB,FAIL
10703,103.4553,103.4414,0.013898,3.56 LSB,FAIL
10704,103.4601,103.4453,0.014825,3.80 LSB,FAIL
10705,103.4650,103.4531,0.011845,3.03 LSB,FAIL
10706,103.4698,103.4570,0.012771,3.27 LSB,FAIL
10707,103.4746,103.4609,0.013697,3.51 LSB,FAIL
10708,103.4795,103.4648,0.014623,3.74 LSB,FAIL
10709,103.4843,103.4727,0.011642,2.98 LSB,FAIL
10710,103.4891,103.4766,0.012567,3.22 LSB,FAIL
10711,103.4940,103.4805,0.013492,3.45 LSB,FAIL
10712,103.4988,103.4844,0.014417,3.69 LSB,FAIL
10713,103.5036,103.4922,0.011436,2.93 LSB,FAIL
10714,103.5085,103.4961,0.012360,3.16 LSB,FAIL
10715,103.5133,103.5000,0.013284,3.40 LSB,FAIL
10716,103.5181,103.5039,0.014208,3.64 LSB,FAIL
10717,103.5229,103.5117,0.011226,2.87 LSB,FAIL
10718,103.5278,103.5156,0.012149,3.11 LSB,FAIL
10719,103.5326,103.5195,0.013072,3.35 LSB,FAIL
10720,103.5374,103.5234,0.013995,3.58 LSB,FAIL
10721,103.5423,103.5273,0.014918,3.82 LSB,FAIL
10722,103.5471,103.5352,0.011934,3.06 LSB,FAIL
10723,103.5519,103.5391,0.012857,3.29 LSB,FAIL
10724,103.5567,103.5430,0.013779,3.53 LSB,FAIL
10725,103.5616,103.5469,0.014701,3.76 LSB,FAIL
10726,103.5664,103.5547,0.011716,3.00 LSB,FAIL
10727,103.5712,103.5586,0.012638,3.24 LSB,FAIL
10728,103.5761,103.5625,0.013559,3.47 LSB,FAIL
10729,103.5809,103.5664,0.014480,3.71 LSB,FAIL
10730,103.5857,103.5742,0.011495,2.94 LSB,FAIL
10731,103.5905,103.5781,0.012415,3.18 LSB,FAIL
10732,103.5954,103.5820,0.013335,3.41 LSB,FAIL
10733,103.6002,103.5859,0.014256,3.65 LSB,FAIL
10734,103.6050,103.5938,0.011269,2.88 LSB,FAIL
10735,103.6098,103.5977,0.012189,3.12 LSB,FAIL
10736,103.6147,103.6016,0.013108,3.36 LSB,FAIL
10737,103.6195,103.6055,0.014027,3.59 LSB,FAIL
10738,103.6243,103.6094,0.014946,3.83 LSB,FAIL
10739,103.6291,103.6172,0.011959,3.06 LSB,FAIL
10740,103.6340,103.6211,0.012878,3.30 LSB,FAIL
10741,103.6388,103.6250,0.013796,3.53 LSB,FAIL
10742,103.6436,103.6289,0.014714,3.77 LSB,FAIL
10743,103.6484,103.6367,0.011726,3.00 LSB,FAIL
10744,103.6533,103.6406,0.012643,3.24 LSB,FAIL
10745,103.6581,103.6445,0.013561,3.47 LSB,FAIL
10746,103.6629,103.6484,0.014478,3.71 LSB,FAIL
10747,103.6677,103.6562,0.011488,2.94 LSB,FAIL
10748,103.6726,103.6602,0.012405,3.18 LSB,FAIL
10749,103.6774,103.6641,0.013322,3.41 LSB,FAIL
10750,103.6822,103.6680,0.014238,3.64 LSB,FAIL
10751,103.6870,103.6758,0.011248,2.88 LSB,FAIL
10752,103.6919,103.6797,0.012164,3.11 LSB,FAIL
10753,103.6967,103.6836,0.013079,3.35 LSB,FAIL
10754,103.7015,103.6875,0.013995,3.58 LSB,FAIL
10755,103.7063,103.6914,0.014910,3.82 LSB,FAIL
10756,103.7111,103.6992,0.011919,3.05 LSB,FAIL
10757,103.7160,103.7031,0.012833,3.29 LSB,FAIL
10758,103.7208,103.7070,0.013748,3.52 LSB,FAIL
10759,103.7256,103.7109,0.014662,3.75 LSB,FAIL
10760,103.7304,103.7188,0.011670,2.99 LSB,FAIL
10761,103.7352,103.7227,0.012584,3.22 LSB,FAIL
10762,103.7401,103.7266,0.013497,3.46 LSB,FAIL
10763,103.7449,103.7305,0.014411,3.69 LSB,FAIL
10764,103.7497,103.7383,0.011418,2.92 LSB,FAIL
10765,103.7545,103.7422,0.012330,3.16 LSB,FAIL
10766,103.7593,103.7461,0.013243,3.39 LSB,FAIL
